REQUEST_NO,GRANDCHILD,CHILD,PARENT,GRANDPARENT,REQUEST_TYPE,INTERNAL_FIELD_OBSERVATION,INTERNAL_WORK_REQUEST,TITLE,DETAILED_DESCRIPTION,RECEIVED_DATE,FISCAL_YEAR,FISCAL_MONTH,CMPD_DIVISION,DEPARTMENT,DIVISION,NEIGHBORHOOD_PROFILE_AREA,BLOCK_NO,STREET_DIRECTION,STREET_NAME,STREET_TYPE,CITY,STATE,ZIP_CODE,FULL_ADDRESS,RECEIVED_BY,RECEIVED_BY_GROUP,X_COORD,Y_COORD,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,STATUS,ORIGIN,Shape,OBJECTID,MODIFY_DATE,GlobalID,PID
9596289,Multifamily (Bulky),Solid Waste Services,,,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS,"TABLE, 2-DRESSERS, 4-CHAIRS, 5-DRAWERS",2024-01-25 14:51:21,2024,07-Jan,METRO,Solid Waste Services,Multifamily (Bulky),139.0,3008.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3008 BEATTIES FORD RD, CHARLOTTE, NC  28216",RAIZA RIVERA,311 Partner Liaison,1446452.0,560497.0,35.27585947,-80.85482193,2.0,CLOSED,CITIZEN,POINT (1446452 560497),7276897,,306F0D9E-26BA-46A7-96F5-1D1D6D2A8D05,04105305
9595810,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,Non-recyclable Items,Mattress(1),2024-01-25 10:59:07,2024,07-Jan,METRO,Solid Waste Services,Sanitation,85.0,1301.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1301 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1445938.0,552967.0,35.25514688,-80.85607213,2.0,CLOSED,MOBILE CITIZEN,POINT (1445938 552967),7277104,,7A71CF01-BAFC-405F-A527-515F12200CED,06906125
9596281,Special Services,Solid Waste Services,,,MISSED BUSINESS GARBAGE,N,N,MISSED BUSINESS GARBAGE,missed for the last 2 weeks,2024-01-25 14:50:30,2024,07-Jan,METRO,Solid Waste Services,Special Services,139.0,3546.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3546 BEATTIES FORD RD, CHARLOTTE, NC  28216",SHELONDA SWINT-CROWDER,311 Partner Liaison,1446142.0,562832.0,35.28225819,-80.8560067,2.0,CLOSED,CITIZEN,POINT (1446142 562832),7277270,,49E67476-9513-4E55-A4FB-BCBDE0867C38,04105113
9582033,CDOT Customer Service,Transportation,,,CDOT TRAF SIGNAL REPAIR,N,N,STREETS - Traffic Signal Malfunctioning,"The right side traffic signal is off, the left side works.",2024-01-16 06:27:43,2024,07-Jan,METRO,Transportation,CDOT Customer Service,139.0,3840.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3840 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1445678.0,564836.0,35.28773965,-80.85768688,2.0,CLOSED,WEB CITIZEN,POINT (1445678 564836),7268879,,6C671E50-B9BF-4522-971C-EE1754297990,04108112
9621719,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS,"***Pick up on the Estelle St side of residence***....Footboard, Headboard, Garbage bags of misc items (6), Carts with Toys (4), Chair, Small Kitchen Table (broken down), Boxspring",2024-02-14 08:42:31,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1531.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1531 BEATTIES FORD RD, CHARLOTTE, NC  28216",MATTHEW ALSOP,311 Partner Liaison,1446061.0,554116.0,35.2583097,-80.85573213,2.0,CLOSED,CITIZEN,POINT (1446061 554116),7294023,,F26B25E1-38CD-4AB0-B165-18D77B78D9A3,06909604
9582821,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS, Sofa,2024-01-16 11:02:03,2024,07-Jan,METRO,Solid Waste Services,Sanitation,85.0,1519.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1519 BEATTIES FORD RD, CHARLOTTE, NC  28216",JERONA WILLIAMS,311 Partner Liaison,1446015.0,553994.0,35.25797218,-80.85587856,2.0,CLOSED,CITIZEN,POINT (1446015 553994),7269532,,5175A4F9-A7F5-4588-8381-194B9B32481E,06909602
9576617,Street Maintenance,Transportation,,,CDOT CLEAN CATCH BASIN,N,N,CDOT CLEAN CATCH BASIN,cust called stating there are 4 drains blocked with debri near I-85 at Beatties ford road and Brookshire exits ,2024-01-10 14:37:18,2024,07-Jan,,Transportation,Street Maintenance,,,,NORTH BEATTIES FORD,RD,CHARLOTTE,NC,," NORTH BEATTIES FORD RD, CHARLOTTE, NC  ",KATRINA GOVENS,311 Partner Liaison,,,,,,CLOSED,CITIZEN,,7264628,,1DD85E0D-5D73-4503-B097-044EF5431787,
9661948,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,Non-recyclable Items,"Mirror(2), Plywood(3), Chairs(1), Window(1)",2024-03-12 22:19:28,2024,09-Mar,NORTH,Solid Waste Services,Sanitation,139.0,4600.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4600 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1446498.0,568505.0,35.29786111,-80.85516923,2.0,CLOSED,WEB CITIZEN,POINT (1446498 568505),7319518,,3F24144A-EDC7-4CD9-A954-BD2B0ABE9A4C,04117111
9663332,HNS Code Enforcement,Housing and NBHD Serv,,,HNS HEALTH AND SANITATION,N,N,HNS HEALTH AND SANITATION,Caller is calling in about political signs that are still up in the area after several weeks and concerned as they are becoming an eyesoar in the community.,2024-03-13 15:18:14,2024,09-Mar,NORTH,Housing and NBHD Serv,HNS Code Enforcement,260.0,5100.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"5100 BEATTIES FORD RD, CHARLOTTE, NC  28216",TIA BULLETT,311 Partner Liaison,1445734.0,571346.0,35.30562652,-80.85790752,2.0,CLOSED,CITIZEN,POINT (1445734 571346),7319762,,26814B93-E04F-4000-A235-7DB1E4C9D433,03737209
9669509,HNS Code Enforcement,Housing and NBHD Serv,,,HNS HEALTH AND SANITATION,N,N,"STREETS - Sidewalk, Bike Lane, or Roadway Obstruction","Black chain-link fence was involved in a car accident, and it pushed out into the public sidewalk.",2024-03-18 12:02:32,2024,09-Mar,METRO,Housing and NBHD Serv,HNS Code Enforcement,382.0,422.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"422 BEATTIES FORD RD, CHARLOTTE, NC  ",EMERALD WEB PAGE,WEB Requests,1445855.0,549614.0,35.24593132,-80.85614012,2.0,CLOSED,MOBILE CITIZEN,POINT (1445855 549614),7323675,,202AF570-E538-4A0C-8F69-9FB7516176E7,07821103
9669432,Dead Animal Collection,Special Services,Solid Waste Services,,DEAD ANIMAL COLLECTION,N,N,DEAD ANIMAL COLLECTION,"CITIZEN REPORTED THERE IS  A DEAD ANIMAL  (ANIMAL TYPE UNKNOWN) IN THE DITCH IN FRONT OF TRINITY CHURCH ACROSS THE STREET FROM HORNETS NEST PARK,ATTRACTING A LARGE NUMBER OF CROWS OR VULTURES FEEDING OFF OF THE CARCASS",2024-03-18 11:47:37,2024,09-Mar,,Solid Waste Services,Special Services,,,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0," BEATTIES FORD RD, CHARLOTTE, NC  28216",VALERIE GILFORD,311 Partner Liaison,,,,,,CLOSED,CITIZEN,,7324723,,119BC716-4C97-42B0-9ABD-5BEEA12012FC,
9569933,Special Services,Solid Waste Services,,,STREET SWEEPING/FLUSHING,N,N,STREET SWEEPING/FLUSHING,Mr. Mckoy called in to report that there are rocks leading from entrance of 4551 Beatties ford Rd to Capps Hill Mine Rd. States that it is causing a traffic hazard and damage to tires.,2024-01-05 14:05:12,2024,07-Jan,NORTH,Solid Waste Services,Special Services,123.0,4551.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4551 BEATTIES FORD RD, CHARLOTTE, NC  28216",MELANIE BLACKWELL,311 Partner Liaison,1444822.0,567861.0,35.29600576,-80.8607449,,CLOSED,CITIZEN,POINT (1444822 567861),7259742,,A66B5BE6-9DE5-4473-B104-EA85A17534C2,03929204
9601902,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,RECYCLABLE ITEMS,N,N,RECYCLABLE ITEMS, Television,2024-01-30 15:34:49,2024,07-Jan,METRO,Solid Waste Services,Sanitation,139.0,3544.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3544 BEATTIES FORD RD, CHARLOTTE, NC  28216",ELIZABETH BAKER,311 Partner Liaison,1446454.0,562902.0,35.28246651,-80.8549658,2.0,CLOSED,CITIZEN,POINT (1446454 562902),7280855,,C032FB77-7D53-48F4-8ED6-9E80CD9B18DC,04105113
9614881,311 Fulfillment,311 Partner Liaison,Housing and NBHD Serv,,311 DOCUMENT,N,N,311 DOCUMENT,,2024-02-08 11:23:44,2024,08-Feb,NORTH,Housing and NBHD Serv,311 Partner Liaison,260.0,6040.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"6040 BEATTIES FORD RD, CHARLOTTE, NC  28216",FANTA HUGHES,311 Partner Liaison,1443920.0,575321.0,35.31645299,-80.86423684,2.0,CLOSED,CITIZEN,POINT (1443920 575321),7288935,,1DD54113-6FC3-4DA5-B965-A17D8651BADB,03712405
9667085,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,Non-recyclable Items,Entertainment center(1),2024-03-15 17:44:44,2024,09-Mar,METRO,Solid Waste Services,Sanitation,374.0,1600.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1600 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1446233.0,554171.0,35.25846963,-80.8551595,2.0,CLOSED,MOBILE CITIZEN,POINT (1446233 554171),7321838,,F0D84889-C41B-4BCF-A6EF-140E390109A6,07505605
9664239,Dead Animal Collection,Special Services,Solid Waste Services,,DEAD ANIMAL COLLECTION,N,N,DEAD ANIMAL COLLECTION,he says that it is right in front of the utility box next to the CATS stop and it is a coyote,2024-03-14 09:37:45,2024,09-Mar,NORTH,Solid Waste Services,Special Services,123.0,4029.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"4029 BEATTIES FORD RD, CHARLOTTE, NC  ",CASSANDRA ALLISON,311 Partner Liaison,1445556.0,565749.0,35.29024074,-80.85815343,,CLOSED,CITIZEN,POINT (1445556 565749),7320934,,120280EA-DC99-42C6-9F76-C4E684898477,03923122
9601903,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS," Chairs 4, blind, bench, rake 5 flower pots",2024-01-30 15:34:50,2024,07-Jan,METRO,Solid Waste Services,Sanitation,139.0,3544.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3544 BEATTIES FORD RD, CHARLOTTE, NC  28216",ELIZABETH BAKER,311 Partner Liaison,1446454.0,562902.0,35.28246651,-80.8549658,2.0,CLOSED,CITIZEN,POINT (1446454 562902),7281360,,649A5D81-BE9A-4278-AD32-C7794AFFDE91,04105113
9615467,Zoning Group 5 - Moore,HNS Zoning,HNS Code Enforcement,Housing and NBHD Serv,ZON GENERAL INFO  INQUIRY,N,N,ZON GENERAL INFO  INQUIRY,THE CALLER IS ASKING IF IT IS BEING REZONED FOR MULTI FAMILY. PLEASE REACH OUT WITH THE INFORMATION,2024-02-08 15:17:09,2024,08-Feb,NORTH,Housing and NBHD Serv,HNS Code Enforcement,139.0,4414.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4414 BEATTIES FORD RD, CHARLOTTE, NC  28216",CASSANDRA ALLISON,311 Partner Liaison,1446415.0,567729.0,35.29572505,-80.85539875,2.0,CLOSED,CITIZEN,POINT (1446415 567729),7289679,,A233C6F0-C69A-4C46-85A9-18BE84B56700,04117106
9563726,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,Non-recyclable Items,Mattress(1),2024-01-02 12:54:00,2024,07-Jan,METRO,Solid Waste Services,Sanitation,374.0,1800.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28212.0,"1800 BEATTIES FORD RD, CHARLOTTE, NC  28212",EMERALD WEB PAGE,WEB Requests,1446326.0,554759.0,35.26008974,-80.85488482,2.0,CLOSED,MOBILE CITIZEN,POINT (1446326 554759),7256871,,05B40392-7A6F-4484-A9AB-E15F09068875,07503104
9663181,Zoning Group 5 - Moore,HNS Zoning,HNS Code Enforcement,Housing and NBHD Serv,ZON GENERAL INFO  INQUIRY,N,N,ZON GENERAL INFO  INQUIRY,"Caller would like general information about this land here, what can cant be build here. Anthony would like a call or email please. ",2024-03-13 14:35:22,2024,09-Mar,METRO,Housing and NBHD Serv,HNS Code Enforcement,123.0,3029.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3029 BEATTIES FORD RD, CHARLOTTE, NC  28216",ALEX CEVALLOS,311 Partner Liaison,1446168.0,560715.0,35.27644377,-80.85578699,2.0,CLOSED,CITIZEN,POINT (1446168 560715),7319040,,8524D099-EB21-421C-BBC9-BC87A7E9A131,03912204
9637830,CDOT Customer Service,Transportation,,,CDOT NEW TRAFFIC SIGNAL,N,N,STREETS - New Traffic Signal Request,Please add camera at Hoskins and Beatties Ford Rd,2024-02-26 12:29:42,2024,08-Feb,METRO,Transportation,CDOT Customer Service,139.0,2912.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"2912 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1446623.0,560079.0,35.27471994,-80.85422292,2.0,CLOSED,MOBILE CITIZEN,POINT (1446623 560079),7303455,,13D1C862-4B19-4922-A618-AE10E748B88F,04101102
9650870,Special Services,Solid Waste Services,,,STREET SWEEPING/FLUSHING,N,N,STREET SWEEPING/FLUSHING,MR JOHNSO REPORTS THERE HAS BEEN A GRAVEL SPILL THAT ECTENDS FROM 400-4400 BLOCK OF BEATTIES FORD RD THAT NEEDS TO BE SWEPT. POSSIBLE TRAFFIC  HAZZARD ,2024-03-05 15:16:14,2024,09-Mar,NORTH,Solid Waste Services,Special Services,139.0,4000.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"4000 BEATTIES FORD RD, CHARLOTTE, NC  28216",DIANE RUIZ,311 Partner Liaison,1445722.0,565402.0,35.28929681,-80.85757495,2.0,NEW,CITIZEN,POINT (1445722 565402),7311259,,23634EB2-1F65-49F7-B53C-2F3CDBA3DB1F,04108109
9667656,CDOT Customer Service,Transportation,,,CDOT TRAF SIGNAL TIMING,N,N,SIGNALS - Traffic Signal Timing,"The timing on this light is off, with traffic on Rozelles Ferry turning onto Beatties Ford having to wait 3-4 minutes to get a green light. Additionally only 2-3 cars have time to turn per light cycle",2024-03-16 17:16:53,2024,09-Mar,METRO,Transportation,CDOT Customer Service,382.0,100.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"100 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1445621.0,548773.0,35.24360892,-80.85687104,2.0,CLOSED,MOBILE CITIZEN,POINT (1445621 548773),7322453,,3C46A2C1-A923-4809-8AE6-B7974BAC3F6C,07820106
9650538,Multifamily (Bulky),Solid Waste Services,,,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS," Commode2, Door2, CABINETS, COUNTERTOPS,",2024-03-05 13:26:52,2024,09-Mar,METRO,Solid Waste Services,Multifamily (Bulky),139.0,3008.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3008 BEATTIES FORD RD, CHARLOTTE, NC  28216",FANTA HUGHES,311 Partner Liaison,1446452.0,560497.0,35.27585947,-80.85482193,2.0,CLOSED,CITIZEN,POINT (1446452 560497),7311730,,F2C03B55-2ADB-4166-A18D-720F6F1B07EC,04105305
9650537,Multifamily (Bulky),Solid Waste Services,,,RECYCLABLE ITEMS,N,N,RECYCLABLE ITEMS, Refrigerator,2024-03-05 13:26:51,2024,09-Mar,METRO,Solid Waste Services,Multifamily (Bulky),139.0,3008.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3008 BEATTIES FORD RD, CHARLOTTE, NC  28216",FANTA HUGHES,311 Partner Liaison,1446452.0,560497.0,35.27585947,-80.85482193,2.0,CLOSED,CITIZEN,POINT (1446452 560497),7311732,,9F350B89-0232-43D9-AB41-91A0D3A30EFF,04105305
9607627,HNS Code Enforcement,Housing and NBHD Serv,,,SIGNS (NOT FOR 311 USE),N,N,NEIGHBORHOODS - Signs in Public Rights of Way,signs in right of way,2024-02-03 13:19:58,2024,08-Feb,METRO,Housing and NBHD Serv,HNS Code Enforcement,382.0,305.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"305 BEATTIES FORD RD, CHARLOTTE, NC  ",EMERALD WEB PAGE,WEB Requests,1445362.0,549240.0,35.24487854,-80.85776762,2.0,CLOSED,WEB CITIZEN,POINT (1445362 549240),7284415,,FA0E2C19-CD28-4D89-8E28-562E585C630C,06901110
9638176,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS," Toilet, Table",2024-02-26 14:04:34,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1619.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1619 BEATTIES FORD RD, CHARLOTTE, NC  28216",LASHANA ROSS,311 Partner Liaison,1446105.0,554435.0,35.25918831,-80.85560474,2.0,CLOSED,CITIZEN,POINT (1446105 554435),7304174,,CCE91593-2EDB-4A8D-BEB5-D85AC368CBB3,06909119
9607773,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,Non-recyclable Items,"Chairs(2), Rugs(2)",2024-02-03 16:54:56,2024,08-Feb,METRO,Solid Waste Services,Sanitation,374.0,1904.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1904 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1446352.0,555110.0,35.26105533,-80.8548197,2.0,CLOSED,MOBILE CITIZEN,POINT (1446352 555110),7284546,,E3DF0602-88BA-43A4-954C-372166125850,07503609
9607626,HNS Code Enforcement,Housing and NBHD Serv,,,SIGNS (NOT FOR 311 USE),N,N,NEIGHBORHOODS - Signs in Public Rights of Way,signs in right of way,2024-02-03 13:19:58,2024,08-Feb,METRO,Housing and NBHD Serv,HNS Code Enforcement,382.0,305.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"305 BEATTIES FORD RD, CHARLOTTE, NC  ",EMERALD WEB PAGE,WEB Requests,1445362.0,549240.0,35.24487854,-80.85776762,2.0,CLOSED,WEB CITIZEN,POINT (1445362 549240),7284678,,42CDD6A3-114D-4CE1-89F4-607B88505815,06901110
9613459,Dead Animal Collection,Special Services,Solid Waste Services,,DEAD ANIMAL COLLECTION,N,N,DEAD ANIMAL COLLECTION,,2024-02-07 13:29:34,2024,08-Feb,METRO,Solid Waste Services,Special Services,139.0,2920.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"2920 BEATTIES FORD RD, CHARLOTTE, NC  28216",FANTA HUGHES,311 Partner Liaison,1446585.0,560151.0,35.27491578,-80.85435473,2.0,CLOSED,CITIZEN,POINT (1446585 560151),7287946,,71CBB013-822A-44B2-9859-2229B3D1B8AA,04101102
